GlobalID,Detection Date,Lab Status,Submission Date,Latitude,Longitude
{5AC8034E-5B46-4294-85F0-5B13117EBEFE},2019-12-08 00:00:00,Positive ID,2020-01-15,48.980994,-122.688503
{5EAD3364-2CA7-4A39-9A53-7F9DCF5D2041},2019-10-30 00:00:00,Positive ID,2020-01-15,48.971949,-122.700941
{124B9BFA-7F7B-4B8E-8A56-42E067F0F72E},2019-09-19 00:00:00,Positive ID,2020-02-04,49.149394,-123.943134
{C4F44511-EA53-4FCF-9422-E1C57703720D},2020-02-29 00:00:00,Negative ID,2020-02-29,48.729596,-122.480035
{89C867F1-D5ED-48C8-9586-B705F5DA9838},2019-09-07 00:00:00,Negative ID,2020-03-18,47.395721,-123.105188
{81670D96-4143-47B1-A9C8-83977892D53F},2020-03-19 00:00:00,Negative ID,2020-03-19,47.840041,-122.323562
{D30895B7-3994-45A3-BD51-E5BA881833FD},2019-08-30 00:00:00,Negative ID,2020-03-19,47.635058,-122.057332
{1304CF55-4FF9-490F-AF5A-5719CD110A9D},2020-03-23 00:00:00,Negative ID,2020-03-24,48.74361,-122.43905
{5AD8CAF4-AB96-4BFA-8A08-6010C96937F1},2020-03-31 00:00:00,Negative ID,2020-03-31,46.609918,-120.563107
{8DFDA283-3AFD-4E9F-9878-7A0F22E1B917},2019-07-23 00:00:00,Negative ID,2020-04-01,48.006763,-122.462053
{8BE98561-0104-44B6-98D2-1CB625378F9B},2020-04-06 00:00:00,Negative ID,2020-04-06,47.156028,-123.013366
{BE0AD7A4-F4FD-40F7-979C-AE5F4470B1E4},2020-04-07 00:00:00,Negative ID,2020-04-07,47.62986,-120.68945
{EF1D664F-F908-4086-95C2-6C3B1A93FCB2},2019-06-16 00:00:00,Negative ID,2020-04-07,47.766765,-122.552735
{BEE96943-A647-46B0-85FA-6B02B961D195},2020-04-07 00:00:00,Negative ID,2020-04-07,47.708791,-117.472206
{3A1CBF2E-E6F0-4728-A6B6-F57F29BF5B40},2019-07-13 00:00:00,Negative ID,2020-04-08,47.221882,-119.99443
{C9587D29-D898-4CE0-8508-E31EF42AD20C},2019-09-12 00:00:00,Negative ID,2020-04-08,47.328,-122.58004
{931A8E3E-9FE2-4271-A386-867C76516779},2019-01-20 00:00:00,Negative ID,2020-04-08,46.491849,-117.085127
{D50C4D53-441D-4FFD-93D8-DBB6ED4FADCF},2020-04-06 00:00:00,Negative ID,2020-04-08,48.548358,-122.31711
{FCE0B369-AC4D-48CF-A318-7EAD391EEE81},2019-08-08 00:00:00,Negative ID,2020-04-09,46.535196,-117.084754
{EFB94730-2810-4BBB-A708-66AAA805E857},2020-04-09 00:00:00,Negative ID,2020-04-09,47.005477,-122.919675
{4689DDB2-78D7-4219-ADB3-C2A3134A1359},2020-04-12 00:00:00,Negative ID,2020-04-12,48.14981,-123.13306
{43481D0E-63CC-4E98-88A1-2176F4E893A6},2020-04-11 00:00:00,Negative ID,2020-04-12,47.859496,-122.26428
{9700CFCE-AA79-46D4-B495-5C51ECEF3C55},2020-04-13 00:00:00,Negative ID,2020-04-13,48.74478,-122.478403
{E3C77A6C-8557-4CE0-AE46-EA14D63AC2BF},2020-04-10 00:00:00,Negative ID,2020-04-13,47.665515,-122.33873
{7B407363-24DF-4E47-A515-5480DA03FB8B},2020-03-04 00:00:00,Negative ID,2020-04-13,47.634119,-122.646627
{D4204D03-FB96-44A8-9631-FC74AE5328AD},2020-04-14 00:00:00,Negative ID,2020-04-14,47.643943,-122.623737
{6A797976-1323-4D8E-B652-6B5422FFE2BA},2020-04-13 00:00:00,Negative ID,2020-04-14,48.588408,-122.409922
{81B5EB5F-4F6E-4584-A6C8-EA84567B4718},2020-04-14 00:00:00,Negative ID,2020-04-14,46.25472,-120.84395
{C4BA2CFE-55CE-4569-BFC9-89B4465252B1},2020-04-15 00:00:00,Negative ID,2020-04-15,47.573024,-122.384369
{48804E03-CD10-4229-82CB-CD125BFC6D37},2020-04-11 00:00:00,Negative ID,2020-04-15,48.85324,-122.601104
{8478B985-76DB-408F-8581-022AE3AED2E6},2020-04-15 00:00:00,Negative ID,2020-04-15,48.823528,-122.326829
{3CE3A39B-778B-4CE3-BBAF-EB9ED0D48C68},2020-04-15 00:00:00,Negative ID,2020-04-15,48.823521,-122.32684
{C02A4CB0-0D3F-4E52-9D30-858F9556EABA},2020-04-15 00:00:00,Negative ID,2020-04-16,47.00083,-122.877588
{D91109DA-8C76-45D5-B360-0A78C7DF8A19},2020-04-13 00:00:00,Negative ID,2020-04-17,48.234785,-122.512932
{1D066D77-AC48-4AE4-9722-B417325BF4B4},2020-04-17 00:00:00,Negative ID,2020-04-17,48.786983,-122.464938
{32475E51-FEA3-4B85-A229-4EB323EFAAD5},2019-08-25 00:00:00,Negative ID,2020-04-17,47.767236,-122.203342
{44911F51-A718-4D56-B9BA-883022A36656},2020-04-18 00:00:00,Negative ID,2020-04-18,48.419991,-122.327865
{A8B41FEE-F611-4EA7-982A-2897694D27B3},2020-04-18 00:00:00,Negative ID,2020-04-18,48.874475,-122.58183
{D69447EA-07C8-4505-948E-4F0E0E77FCC0},2020-04-18 00:00:00,Negative ID,2020-04-19,48.931157,-122.548199
{363B8679-6012-4377-997A-94E5F855FA7E},2020-04-19 00:00:00,Negative ID,2020-04-19,47.62986,-120.68945
{DCE2AEB5-3762-48C0-9F40-3E370887DE4D},2020-04-19 00:00:00,Negative ID,2020-04-19,46.585611,-120.4542
{9BAB11A6-84A4-4639-ABF4-E1ABF0D501CD},2020-04-19 00:00:00,Negative ID,2020-04-20,48.176506,-122.527462
{530477A3-F552-4EC3-B0F3-829588D43BED},2020-04-19 00:00:00,Negative ID,2020-04-20,48.138159,-122.457098
{1FC586E5-8D49-4C0F-859B-9331A623446C},2020-04-21 00:00:00,Negative ID,2020-04-21,48.13513,-122.466083
{01AA7FD6-8F00-4754-8E0F-A19DAAFBD823},2020-04-23 00:00:00,Negative ID,2020-04-23,47.607667,-122.312902
{91EAC5B5-4D18-4115-8853-F4B9DD6CC8FD},2020-04-23 00:00:00,Negative ID,2020-04-23,48.08848,-123.162659
{5B740387-81A0-4580-968F-C1BFC8A48F34},2020-04-24 00:00:00,Negative ID,2020-04-24,47.172483,-122.285568
