GlobalID,Detection Date,Lab Status,Submission Date,Latitude,Longitude,FileName
{5AC8034E-5B46-4294-85F0-5B13117EBEFE},2019-12-08 00:00:00,Positive ID,2020-01-15,48.980994,-122.688503,ATT1_DSCN9647.jpg
{5EAD3364-2CA7-4A39-9A53-7F9DCF5D2041},2019-10-30 00:00:00,Positive ID,2020-01-15,48.971949,-122.700941,ATT2_HoireRDBeekeeperReport.jpg
{124B9BFA-7F7B-4B8E-8A56-42E067F0F72E},2019-09-19 00:00:00,Positive ID,2020-02-04,49.149394,-123.943134,ATT4_20190921_152954.jpg
{124B9BFA-7F7B-4B8E-8A56-42E067F0F72E},2019-09-19 00:00:00,Positive ID,2020-02-04,49.149394,-123.943134,ATT5_20190918_230100.jpg
{124B9BFA-7F7B-4B8E-8A56-42E067F0F72E},2019-09-19 00:00:00,Positive ID,2020-02-04,49.149394,-123.943134,ATT6_20190918_235343.jpg
{124B9BFA-7F7B-4B8E-8A56-42E067F0F72E},2019-09-19 00:00:00,Positive ID,2020-02-04,49.149394,-123.943134,ATT7_20190918_214742.jpg
{C4F44511-EA53-4FCF-9422-E1C57703720D},2020-02-29 00:00:00,Negative ID,2020-02-29,48.729596,-122.480035,ATT10_67EAF187-B59C-4F5F-BAAC-9F76E06A96D6.jpg
{C4F44511-EA53-4FCF-9422-E1C57703720D},2020-02-29 00:00:00,Negative ID,2020-02-29,48.729596,-122.480035,ATT9_A8F17F0C-0638-41F3-A001-01D2607B81B4.jpg
{89C867F1-D5ED-48C8-9586-B705F5DA9838},2019-09-07 00:00:00,Negative ID,2020-03-18,47.395721,-123.105188,ATT11_wierd hornet sept 2019.jpg
{81670D96-4143-47B1-A9C8-83977892D53F},2020-03-19 00:00:00,Negative ID,2020-03-19,47.840041,-122.323562,ATT12_35736840-588C-47B3-B81B-454ABFAE6A53.jpg
{81670D96-4143-47B1-A9C8-83977892D53F},2020-03-19 00:00:00,Negative ID,2020-03-19,47.840041,-122.323562,ATT13_F162126B-4A5E-4068-92EB-95392E2F6919.jpg
{81670D96-4143-47B1-A9C8-83977892D53F},2020-03-19 00:00:00,Negative ID,2020-03-19,47.840041,-122.323562,ATT14_4EDB0785-9402-49B4-8FB6-CDBE0A3204E3.jpg
{81670D96-4143-47B1-A9C8-83977892D53F},2020-03-19 00:00:00,Negative ID,2020-03-19,47.840041,-122.323562,ATT15_B83CA488-6286-4934-BA68-A0BD5DF03D1F.jpg
{D30895B7-3994-45A3-BD51-E5BA881833FD},2019-08-30 00:00:00,Negative ID,2020-03-19,47.635058,-122.057332,ATT16_Giant Hornet Sahalee Country Club 9.29.2019.jpg
{5AD8CAF4-AB96-4BFA-8A08-6010C96937F1},2020-03-31 00:00:00,Negative ID,2020-03-31,46.609918,-120.563107,ATT17_F38FCA9B-3D90-4079-8372-BA7A6D509BDF.jpg
{8DFDA283-3AFD-4E9F-9878-7A0F22E1B917},2019-07-23 00:00:00,Negative ID,2020-04-01,48.006763,-122.462053,ATT18_IMG_2855.jpg
