,Date,Bitcoin_Profit,Bitcoin_Mean_Profit,Bitcoin_Var,Gold_Profit,Gold_Mean_Profit,Gold_Var,Corr,U
0,2016-10-11,0.17837508646344405,-4.144586169429707e-07,1.545286472958882e-10,-0.061278814621409876,-1.3624568114764785e-06,2.5277505709660697e-11,-0.19309515687798137,0.08620392470479682
1,2016-11-10,0.10469771589870858,7.408268025749e-06,9.451155680148026e-10,-0.029899269031639513,4.418679335264176e-07,1.6665975637051645e-11,-0.020235493552804667,0.062193893828862944
2,2016-12-10,0.11679264269901486,2.8312075720141493e-06,3.127984626970561e-10,-0.0843590603550296,-2.6679113909096583e-06,5.20447053615e-11,0.23415196746094494,0.08103308844517837
3,2017-01-09,-0.12477621472185736,5.709102626304377e-06,1.860035366223969e-09,0.020632912176495523,3.394667752050268e-07,4.1478800270069695e-11,-0.0007684385081544329,-0.0812341622381325
4,2017-02-08,0.0659155878907925,4.203711312739915e-06,1.897686545340251e-09,0.006931155158407775,1.171392534133409e-06,5.845080864524144e-11,0.264200029281586,0.07596126161320711
5,2017-03-10,0.010229389277389339,3.3510608085647674e-06,8.121935599407845e-10,-0.043612216035634865,-5.621894489474084e-07,2.2269455206680437e-11,0.12063513385936081,0.006743596938704509
6,2017-04-09,0.019973440027071656,-1.5654749468462086e-06,2.662195894359447e-09,0.011754828852303563,9.431398641881584e-07,2.938900831390431e-11,0.10923513673055736,0.02897754668491025
7,2017-05-09,0.12960209398984712,7.67538126338611e-06,2.795118086165613e-10,-0.0415445064828876,-4.5111036656336926e-07,1.9633138200674924e-11,-0.3051735874039041,0.04621488723998064
8,2017-06-08,0.0002269014296573348,7.285357678220954e-06,4.22264551749866e-10,-0.017905590258987258,1.2743466562576866e-06,1.5594494136778768e-11,0.18754851888187352,0.014479748509817245
9,2017-07-08,-0.12631206914990878,-1.1129005880144383e-06,1.9570171071443489e-10,-0.04631308506468047,-1.614263953525835e-06,2.0273083300168374e-11,0.30825165405347577,-0.06994595019986612
10,2017-08-07,0.10738992946519317,2.2222219575777586e-06,7.411995645400633e-10,0.009700248632912297,9.163464266467653e-07,1.0305591298472846e-11,0.3228602448082296,0.11198335110243066
11,2017-09-06,-0.06086236058206251,2.602682054007629e-06,1.029968849145581e-10,0.005793005877728367,1.5211011717997823e-06,2.5183933384728924e-11,-0.050472408493084424,-0.04616535350953159
12,2017-10-06,0.01827753615007422,-6.813572082631022e-07,2.399470096015778e-10,-0.042854546332404854,-1.2047043672326447e-06,1.3152983870298117e-11,-0.0988892678901196,-0.010445461663753163
13,2017-11-05,-0.015081024905579025,3.0650521922188745e-06,3.810281858296495e-11,-0.016355326478938042,-8.591675497274227e-08,1.913753744111371e-11,0.3171981414626377,0.017842489486186608
14,2017-12-05,0.40426777863809826,1.399923553680775e-06,5.878524403989009e-11,-0.02419071047957383,4.9391912635976836e-08,5.042497360076553e-12,0.1734146835276129,0.2939387736878253
15,2018-01-04,-0.14591472674580838,4.6650394103619573e-07,2.545163959145562e-11,0.001613776713057908,8.160123156466355e-07,1.397173020202163e-11,-0.49983140909913315,-0.1541384736566931
16,2018-02-03,-0.4913251620542706,-1.724321283216304e-06,3.170154889649871e-11,-0.01793518801431788,3.0225877059212806e-07,1.101445301676599e-11,0.021025563790808104,-0.34710048563598744
17,2018-03-05,-0.0010432030167372719,5.879191017724449e-07,6.304883629489816e-11,-0.017744307737809245,-2.1267895207563287e-07,1.3641277568169754e-11,-0.05680921933686957,-0.012018502447369347
18,2018-04-04,-0.3586801813519866,-1.7083861867417913e-06,3.108216992725964e-11,-0.013350870304643733,2.3865445487319996e-07,1.2978542164050392e-11,-0.07872695251978461,-0.2633477180441619
19,2018-05-04,0.00954940314409327,9.260457330342919e-07,2.8811647290967575e-11,-0.03326240112471785,-3.5808812426103345e-07,1.2798829890381303e-11,0.11369287845339981,0.008643614108691716
20,2018-06-03,-0.22107147431135246,-9.599001497114763e-07,1.4375892043431005e-11,-0.020481178691433507,-3.934663221408317e-07,1.5735758956144758e-11,0.050517996294660625,-0.15558999601020718
21,2018-07-03,-0.14228728624802073,-8.880579431874942e-07,2.9303391115384804e-11,-0.033314279025139115,-9.879905538417109e-07,7.725762177563618e-12,-0.03992706187525329,-0.11378772557053085
22,2018-08-02,-0.08286412452059815,6.986773744713823e-07,1.4568333204490817e-11,-0.03811144249435438,-6.36293237061643e-07,8.223643843733188e-12,0.07441369970327162,-0.06162488143994219
23,2018-09-01,-0.050400085045414454,-4.113059608105591e-07,1.2412790292415359e-11,-0.01515190660198954,-3.8644658913663206e-07,1.727395661985687e-11,0.31672569000763706,-0.006569434057766624
24,2018-10-01,-0.09587032943890504,-3.2506599994608443e-07,1.3952141167034093e-11,-0.006059146139857872,-3.1378931314245157e-07,1.4486596495481002e-11,-0.35033959978236934,-0.1057126324222695
